,ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
549,744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen;USB port;boot,negative;negative;negative,NIL,NIL
550,1281,I bought it during the recent Comex IT show.,NIL,NIL,NIL,NIL
551,1963,The battery life was shorter than expected.,battery life,negative,shorter,-1
552,70,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,positive,NIL,NIL
553,1611,It doesnt overheat or make any loud noises.,NIL,NIL,loud,-1
554,2342,Look up recipes and keep it on the kitchen counter while I cook.,NIL,NIL,NIL,NIL
555,151,The keyboard is top notch.,keyboard,positive,top notch,+1
556,1319,Do you think the shop will give me a new set?? It will NOT!,NIL,NIL,NIL,NIL
557,2850,I have had nothing but problems since the day I took it out of the box!,NIL,NIL,problems,-1
558,2556,My Macbook was worth (after 3 years of use!) $375.,NIL,NIL,NIL,NIL
559,1734,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,negative,crazy;not compatable,-1;-1
560,1617,The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,positive,easy,+1
561,912,Bought this gateway M-50 or 150 early 2007.,NIL,NIL,NIL,NIL
562,1476,"The image is great, and the soud is excelent.",image;soud,positive;positive,great;excellent,+1;+1
563,1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows;boot up;shut down;windows,negative;negative;negative;negative,NIL,NIL
564,451,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS;use,positive;positive,easy;long,+1;-1
565,1544,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",NIL,NIL,perfect,+1
566,149,"With all the goodies inside this machine, it is a value.",NIL,NIL,NIL,NIL
567,1222,I took it back for a full refund.,NIL,NIL,NIL,NIL
568,2956,"It is well worth the money it cost, Very good investment.",cost,positive,well worth;good,+1;+1
569,720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter;Windows 7 Home Premium;Windows 7 Professional,neutral;neutral;neutral,snap,+1
570,740,This computer had exactly the specifications I needed.,specifications,positive,NIL,NIL
571,2442,"Overall, still a very nice machine.",NIL,NIL,nice,+1
572,2125,"Where you click and hold and drag it picture, link, etc to where you want it.",NIL,NIL,NIL,NIL
573,2564,My kids (and dogs) destroyed two power cords by pulling on them.,power cords,neutral,NIL,NIL
574,3016,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,positive,enjoy;awesome,+1;+1
575,806,I had this computer for one month and had to send it in for repair.,NIL,NIL,NIL,NIL
576,2778,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen;clicking buttons,negative;negative,glary;hate,-1;-1
577,2174,"Not to mention, the battery life is absolutely amazing.",battery life,positive,amazing,+1
578,157,"I realize that not every unit has this issue, but the ones that do cannot be repaired.",NIL,NIL,NIL,NIL
579,1522,I have had a Mac for 6 years and won't go back to PC.,NIL,NIL,NIL,NIL
580,2535,i love to use it it is esay and light.,NIL,NIL,love;easy;light,+1;+1;+1
581,1378,Windows also shuts the computer down for no reason without warning.,Windows,negative,NIL,NIL
582,2999,not using wired lan not sure what thats about.,wired lan,neutral,NIL,NIL
583,1930,After about another month I had to send it in AGAIN to Acer for repairs.,NIL,NIL,NIL,NIL
584,222,The macbook rarely requires a hard reboot.,hard reboot,conflict,rarely,+1
585,2802,I LOVE it!,NIL,NIL,love,+1
586,1512,The #1 reason that is always repeated.,NIL,NIL,NIL,NIL
587,1189,Now for the hardware problems.,hardware,negative,problems,-1
588,1356,"Unfortunately, that is not the case.",NIL,NIL,NIL,NIL
589,2070,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,negative,NIL,NIL
590,2076,It's fast and has excellent battery life.,battery life,positive,fast;excellent,+1;+1
591,603,It's face and depanable.,NIL,NIL,fast;dependable,+1;+1
592,1513,No Viruses!,NIL,NIL,NIL,NIL
593,1787,"I'm just really happy that I waited to buy, because this thing kicks a$$!",NIL,NIL,happy,+1
594,930,"  The Hewitt Packard Pavillion dv6700 was my first laptop, before this I had a Dell desktop that I loved.",NIL,NIL,loved,+1
595,612,Apple care included.,Apple care,neutral,included,+1
596,470,It was an all around waste of money for me.,NIL,NIL,NIL,NIL
597,1320,I worked in IT retail sales before.,NIL,NIL,NIL,NIL
598,2706,Features like the font are very block-like and old school.,font;Features,negative;negative,block-like;old,-1;-1
599,2997,It has everything you need to get the job done.,NIL,NIL,NIL,NIL
600,2954,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs;run,negative;negative,good;slow,+1;-1
601,1874,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",plastic pieces,negative,poorly;come off,-1;-1
602,2834,it cant fuction well with lots of webpages open at once.,NIL,NIL,well,+1
603,1546,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,neutral,NIL,NIL
604,1939,This laptop has left me with a HORRIBLE taste in my mouth for Acer brand products.,NIL,NIL,horrible,-1
605,2840,its not bad just VERY VERY annoying.,NIL,NIL,bad;annoying,-1;-1
606,484,"Well, maybe more like week one.",NIL,NIL,NIL,NIL
607,2003,Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,negative,unsteady;susceptible,-1;-1
608,1180,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,neutral,NIL,NIL
609,875,"I believe I purchased this in Dec 09 for my primary work laptop which is used 5-10 hours a day, 4-6 days a week.",NIL,NIL,NIL,NIL
610,809,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,negative,junk;horrible,-1;-1
611,799,then on top of it all their cusromer service center is in the middle east.,cusromer service center,negative,NIL,NIL
612,1668,The only bad part is the size/weight.,size;weight,negative;negative,bad,-1
613,274,The little battery that it did have would only last about an hour while just having it on the desktop.,battery,negative,little,-1
614,2128,I liked the aluminum body.,aluminum body,positive,liked,+1
615,2237,also it is light weight compared to others.,NIL,NIL,light,+1
616,2456,Its good for playing my apps on Facebook or watching movies.,watching movies;playing,positive;positive,good,+1
617,353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality;performance,negative;negative,sub-par,-1
618,2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock;program;program,positive;neutral;positive,love,+1
619,1121,"Sorry, newegg.",NIL,NIL,NIL,NIL
620,134,Be safe buy a Sony.,NIL,NIL,NIL,NIL
621,347,pretty much everything else about the computer is good it just stops working out of no were.,working,negative,good,+1
622,1813,Originally bought it for my wife.,NIL,NIL,NIL,NIL
623,655,It was truly a great computer costing less than one thousand bucks before tax.,costing,positive,great;less,+1;+1
624,2510,"Waiting for the i7 was well worth it, great value for the price.",price;i7,positive;positive,well worth;great,+1;+1
625,1615,I bought this laptop on Saturday and am completely in love with it!,NIL,NIL,love,+1
626,844,"I  asked how they would determine that since there are no scratches, dents  or other signs of damage and was told that was the only way this type of  damage could happen.",NIL,NIL,NIL,NIL
627,884,"Now,,,,,my monitor has been acting up for about 2 months.",monitor,negative,acting up,+1
628,2785,"Also, the extended warranty was a problem.",extended warranty,negative,problem,-1
629,2443,Boots up fast and runs great!,Boots up;runs,positive;positive,fast;great,+1;+1
630,81,Lightweight and the screen is beautiful!,screen,positive,beautiful,+1
631,89,"Buy it, love it, and I promise you won't regret it.",NIL,NIL,love,+1
632,2114,I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,neutral,NIL,NIL
633,1670,"If you don't like fingerprints, this might not be the laptop for you.",NIL,NIL,n't like,-1
634,764,"Call tech support, standard email the form and fax it back in to us.",tech support,neutral,NIL,NIL
635,525,"Just a month and a half or two months ago, my VAIO crashed again.",NIL,NIL,crashed,-1
636,435,They sent it back with a huge crack in it and it still didn't work.,work,negative,NIL,NIL
637,914,"A coupla months later, they change my hard drive.",hard drive,negative,NIL,NIL
638,177,I did contact HP and share how unhappy I am.,NIL,NIL,unhappy,-1
639,1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing;functions,positive;positive,nice;great,+1;+1
640,330,"The 13"" MacBook Pro is portable, durable, and very capable.",NIL,NIL,portable;durable;capable,+1;+1;+1
641,865,I should have spent an extra hundred bucks and got a full sized computer.,NIL,NIL,NIL,NIL
642,1791,Great overall.,NIL,NIL,great,+1
643,549,My smart phone is faster!,NIL,NIL,faster,+1
644,1212,They say sorry out of warranty.,warranty,negative,out of,-1
645,2169,I have full control at all times of what is going on - there is no control+alt+delete business anymore.,NIL,NIL,NIL,NIL
646,2845,I bought this laptop because of the performance to price ratio.,performance;price,positive;positive,NIL,NIL
647,756,PC never worked right even after BIOS fixed.,BIOS,negative,right;fixed,+1;+1
648,2600,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design;tech issues,positive;positive,sleek;less,+1;+1
649,2327,"I have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag.",NIL,NIL,NIL,NIL
650,3012,This is my second MacBook.,NIL,NIL,NIL,NIL
651,1696,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size;space,positive;negative,perfect;recommend;limited,+1;+1;-1
652,1479,The service I received from Toshiba went above and beyond the call of duty.,service,positive,above;beyond,+1;+1
653,2909,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory;speed;priced,negative;negative;negative,higher;great,-1;+1
654,2937,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive,recommend,+1
655,1784,I own other Macs but always find myself navigation to the MacBook Pro to get my work done.,NIL,NIL,NIL,NIL
656,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs;Garageband;Photo Booth;iPhoto;iMovie;video-editing;movie-making;photo management;music;Pages;Numbers;Keynote;school or office use,neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral,NIL,NIL
657,439,This is my 3rd Apple Laptop and first MacBook Pro.,NIL,NIL,NIL,NIL
658,2925,I have had this laptop for a few months now and i would say im pretty satisfied.,NIL,NIL,satisfied,+1
659,929,The love part of my relationship with this laptop doesn't take very long.,NIL,NIL,love;n't take very long,+1;-1
660,2804,Not enough time for me to give it 5 stars!,NIL,NIL,NIL,NIL
661,2077,The screen shows great colors.,screen;colors,positive;positive,great,+1
662,2622,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value;price;value,positive;positive;positive,NIL,NIL
663,1093,That's a huge difference.,NIL,NIL,NIL,NIL
664,225,"Dells are ok, HPs aren't that good, but Macs or Fantastic.",NIL,NIL,ok;good;fantastic,+1;+1;+1
665,1100,"  So, buyers beware!",NIL,NIL,NIL,NIL
666,2523,I am totally satisfied with my little toshie!,NIL,NIL,satisfied,+1
667,970,"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam;burn cd's,neutral;neutral,NIL,NIL
668,1935,"Again, I sent it off to Acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.",NIL,NIL,inconvenient,-1
669,11,DEFINITELY recommended!!!,NIL,NIL,recommended,+1
670,2569,It is extremely user friendly and intuitive.,NIL,NIL,user friendly;intuitive,+1;+1
671,3010,Let me start with the good:So awesome.,NIL,NIL,good;awesome,+1;+1
672,1634,I had finally reached my limit and broke down.,NIL,NIL,NIL,NIL
673,2414,"The 17 inch screen is very large, but the computer is very light.",17 inch screen,negative,large;light,+1;+1
674,832,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative,dropping;horrible,-1;-1
675,1205,"Do I like the computer? Well, other than not getting viruses, I guess it is OK.",NIL,NIL,like;ok,+1;+1
676,1064,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth;Drivers/Applications DVD;Launch Manager,neutral;neutral;neutral,properly,+1
677,2037,I waited and waited and no laptop.,NIL,NIL,NIL,NIL
678,1429,Everything is falling apart internally and externally.,NIL,NIL,NIL,NIL
679,2130,I also liked the glass screen.,glass screen,positive,liked,+1
680,2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card;gaming,positive;neutral,sweet,+1
681,1671,"It super shiny, so you can see the fingerprints easily.",NIL,NIL,shiny;easily,+1;+1
682,1315,"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,negative,NIL,NIL
683,2756,"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,positive,decreased;thrilled,-1;+1
684,548,Its a dog plain and simple.,NIL,NIL,NIL,NIL
685,1446,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative,NIL,NIL
686,168,My HP is very heavy.,NIL,NIL,heavy,-1
687,922,I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,neutral,overload,-1
688,2797,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,negative,bad,-1
689,2863,The price and features more than met my needs.,price;features,positive;positive,more,+1
690,638,They refuse.,NIL,NIL,NIL,NIL
691,2642,big mistake!,NIL,NIL,NIL,NIL
692,1000,Best Buy was great as always and accepted the return and gave me another model 1764.,NIL,NIL,great,+1
693,200,and dell and best buy both refused to take it back after i only had it for 1 hour....,NIL,NIL,NIL,NIL
694,2887,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,NIL,NIL,NIL,NIL
695,993,"First of all, I've been Dell fan for more than fifteen years.",NIL,NIL,NIL,NIL
696,2464,GREAT INVESTMENT!,NIL,NIL,great,+1
697,1667,I am just amazed.,NIL,NIL,amazed,+1
698,416,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",NIL,NIL,NIL,NIL
699,2041,I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.,NIL,NIL,problems,-1
700,240,Skype is just so dang cool with this machine too.,Skype,positive,cool,+1
701,2135,I would buy this lap top over and over again!,NIL,NIL,NIL,NIL
702,1393,the mouse buttons are hard to push.,mouse buttons,negative,hard,-1
703,2259,"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop.",NIL,NIL,NIL,NIL
704,1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD;rails;hard drive,positive;neutral;neutral,NIL,NIL
705,2695,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",NIL,NIL,good,+1
706,1506,I also travel with it and it never gives me any problems.,NIL,NIL,NIL,NIL
707,1837,Just don't waste your time and money on this.,NIL,NIL,NIL,NIL
708,532,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,positive,less expensive;better,+1;+1
709,3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative,NIL,NIL
710,921,"And I'm still paying the bloody financing, for a product which didn't last me at least three years !",NIL,NIL,NIL,NIL
711,1733,Games being the main issue.,Games,negative,issue,-1
712,2907,"No problems, no lock ups, no disappointments.",NIL,NIL,NIL,NIL
713,1178,"While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the PC world.",NIL,NIL,crazy,-1
714,2265,"I am definitely sold, and not going back to PCs for home use!",NIL,NIL,NIL,NIL
715,119,"I have a lapdesk which I can use, but I can still feel the heat through the foam and plastic.",NIL,NIL,NIL,NIL
716,68,and its really cheap and you wont regret buying it.,NIL,NIL,cheap,+1
717,2746,It was over rated!,NIL,NIL,over rated,-1
718,282,I dont understand how anyone can think this is a great product worth purchasing.,NIL,NIL,great;worth,+1;+1
719,1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,neutral,NIL,NIL
720,2800,I wasn't really sure I wanted to spend that kind of money!,NIL,NIL,NIL,NIL
721,1042,Other Thoughts: Do not purchase this product.,NIL,NIL,NIL,NIL
722,640,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty;hard drive,negative;neutral,invalidate,-1
723,2238,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative,best,+1
724,1907,  I took the computer back in yet again except this time they kept it to send into their Geek Squad headquarters.,NIL,NIL,NIL,NIL
725,78,This is a great laptop and I would recommend it to anyone.,NIL,NIL,great;recommend,+1;+1
726,891,"Thank God for ""ctrl Z""Bottom line, I've been using laptops since the mid 90s and probably the majority of brands out there.",NIL,NIL,NIL,NIL
727,692,They definitely have a superior product!,NIL,NIL,superior,+1
728,1580,A great computer for light home use and business use.,home use;business use,positive;positive,great;light,+1;+1
729,2817,Bought it to use mostly for oline classes.,NIL,NIL,NIL,NIL
730,273,"Even with virus protection, it always turned off when updates were needed and installed.",virus protection;updates,negative;negative,NIL,NIL
731,2679,"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,negative,NIL,NIL
732,415,"They are wonderful, but very dangerous when it comes to emitting heat.",NIL,NIL,wonderful;dangerous,+1;-1
733,2046,This computer was awful!,NIL,NIL,awful,-1
734,2450,"Heck, if I had enough ' money, I would but it as a gift for someone.",NIL,NIL,NIL,NIL
735,2170,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature;Windows;games,positive;positive;neutral,wonderful,+1
736,2624,The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,positive,long,+1
737,1822,My previous purchases were with Dell and HP.,NIL,NIL,NIL,NIL
738,2374,I have not have any problems.,NIL,NIL,NIL,NIL
739,1896,I purchased an HP right after my high school graduation.,NIL,NIL,NIL,NIL
740,341,Me and my boyfriend bought the Gateway NV78 in nov of 09.,NIL,NIL,NIL,NIL
741,2245,It is very user friendly and not hard to figure out at all.,NIL,NIL,user friendly;hard,+1;-1
742,1569,"lightweight, long battery life, excellent transition from PC;",battery life,positive,long;excellent,+1;+1
743,3064,The price is another driving influence that made me purchase this laptop.,price,positive,driving,+1
744,2953,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,negative,good,+1
745,2129,It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,positive,stronger,+1
746,2075,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features;use,positive;positive,amazed;ease,+1;+1
747,2180,"Two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone.",NIL,NIL,NIL,NIL
748,1362,Sent unit back and it's been two months.,NIL,NIL,NIL,NIL
749,2710,Came fully loaded - good.,loaded,positive,good,+1
750,1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7;Vista;Vista;windows,neutral;neutral;negative;neutral,new,+1
751,1370,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Windows XP;Vista,conflict;neutral,NIL,NIL
752,1697,(I definatly can't).,NIL,NIL,NIL,NIL
753,276,"Files as well would become lost, deleted or corrupted.",NIL,NIL,NIL,NIL
754,1287,It is meant to be PORTABLE.,NIL,NIL,NIL,NIL
755,1929,My laptop worked again for just a while before I started having issues AGAIN.,NIL,NIL,NIL,NIL
756,2365,This is perfect for her field.,NIL,NIL,perfect,+1
757,412,taking it back less than 24 hours of purchase,NIL,NIL,NIL,NIL
758,2742,That's the downside for me.,NIL,NIL,NIL,NIL
759,1758,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,negative,dark,-1
760,1257,Hopefully Amazon will take this back.,NIL,NIL,NIL,NIL
761,1908,  They ended up keeping my computer for almost 3 months!,NIL,NIL,NIL,NIL
762,842,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","warranty;repair ""depot""",negative;negative,NIL,NIL
763,931,But I needed a laptop for school use.,school use,neutral,NIL,NIL
764,863,he can't stand it.,NIL,NIL,NIL,NIL
765,2151,The computer was delivered as promised.,NIL,NIL,NIL,NIL
766,36,This is the complete opposite to an ergonomic design.,design,negative,opposite;ergonomic,-1;+1
767,2967,I would like at least a 4 hr. battery life.,battery life,neutral,like,+1
768,1732,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,negative,like;able,+1;+1
769,1800,"Looking online, many people are having the same problem.",NIL,NIL,NIL,NIL
770,1063,"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive,issue,-1
771,2615,THIS IS MY SECOND MAC BOOK PRO.,NIL,NIL,NIL,NIL
772,271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life;programs,negative;negative,short,-1
773,2478,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad;programs;navigating,positive;positive;positive,simpler;quicker;easier,+1;+1;+1
774,523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers;subwoofer,positive;positive,good,+1
775,1657,Theres a built in camera with special effects- for video and photography.,built in camera,positive,special,+1
776,1674,All for such a great price.,price,positive,great,+1
777,472,I went right out and purchased another laptop.,NIL,NIL,NIL,NIL
778,1143,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,neutral,crappy,-1
779,2618,I am able to play 720p and 1080p media files just fine with it.,NIL,NIL,able;fine,+1;+1
780,1708,"I already own an iPhone, and so the move just made more sense.",NIL,NIL,NIL,NIL
781,2771,So think about factoring those things in when you purchase.,NIL,NIL,NIL,NIL
782,2375,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,NIL,NIL,NIL,NIL
783,203,Everything was up and running within 15 minutes of unboxing.,NIL,NIL,NIL,NIL
784,123,"This computer gets very hot, before shutting down.",NIL,NIL,hot,-1
785,2927,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key;costed,negative;neutral,broke,-1
786,916, Went silently.,NIL,NIL,NIL,NIL
787,2750,Satisfy what I paid for it.,NIL,NIL,Satisfy,+1
788,1137,IT IS TRASH!,NIL,NIL,trash,-1
789,2993,It has good speed and plenty of hard drive space.,speed;hard drive space,positive;positive,good;plenty,+1;+1
790,2453,Clear picture on it and everything.,picture,positive,clear,+1
791,2661,"Overall though, for the money spent it's a great deal.",NIL,NIL,great,+1
792,2590,So you don't get frustrated the first few weeks.,NIL,NIL,frustrated,-1
793,515,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty;extended warranties,neutral;neutral,NIL,NIL
794,2321,It's so useable and responsive.,NIL,NIL,useable;responsive,+1;+1
795,2282,It is truly a Desktop Replacement.,NIL,NIL,NIL,NIL
796,1135,I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now.,NIL,NIL,NIL,NIL
797,1577,"A little pricey but it is well, well worth it.",NIL,NIL,pricey;well;well worth,-1;+1;+1
798,2572,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,positive,long-life,+1
799,2387,"Screen is awesome, battery life is good.",Screen;battery life,positive;positive,awesome;good,+1;+1
800,2517,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,positive,nice;seamless;better looking,+1;+1;+1
801,1967,In my opinion it was not as user friendly as I expected either.,NIL,NIL,user friendly,+1
802,990,The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,negative,3rd world,-1
803,1414,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics;warranty,negative;negative,awful;worth;cheap,-1;+1;+1
804,664,and if u did.,NIL,NIL,NIL,NIL
805,2484,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",NIL,NIL,great,+1
806,903,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,negative,malfunction,-1
807,1609,It was definelty a smart move.,NIL,NIL,NIL,NIL
808,2354,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,NIL,NIL,excited;powerful,+1;+1
809,2979,Apparently they are defective since they are not securely attached.,NIL,NIL,defective,-1
810,1759,but other then that I would give this product a 4 in hafe stars.,NIL,NIL,NIL,NIL
811,975,Sure hope Best Buy will replace it asap.,NIL,NIL,NIL,NIL
812,2931,I babyed the heck out of it and i still do.,NIL,NIL,NIL,NIL
813,2700,Handles all my basic media needs easily.,NIL,NIL,easily,+1
814,1482,Just what the doctor ordered.,NIL,NIL,NIL,NIL
815,1602,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,positive,happy;nice,+1;+1
816,1233,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,NIL,NIL,NIL,NIL
817,2231,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance;price;look;applications,neutral;positive;positive;positive,better;lower;easy,+1;+1;+1
818,2828,Excellent speed for processing data.,speed,positive,excellent,+1
819,121,"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole.",NIL,NIL,dissatisfied,-1
820,2744,I am not happy at all with the product I purchased.,NIL,NIL,happy,+1
821,1824,When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,negative,NIL,NIL
822,2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming;use,positive;positive,good;amazing,+1;+1
823,2500,I was taught to use Photoshop and was amazed.,Photoshop,positive,amazed,+1
824,600,It's A MAC!!,NIL,NIL,NIL,NIL
825,497,It was weird.,NIL,NIL,weird,-1
826,241,I can hardly wait to see whats around the next corner.,NIL,NIL,NIL,NIL
827,557,the apple pro notebook will not let you down.,NIL,NIL,NIL,NIL
828,677,4gb of ram...,ram,neutral,NIL,NIL
829,531,"I did a review on it, its awesome.",NIL,NIL,awesome,+1
830,1367,"  Before we got this laptop, had a compaq pasaro for 5 years with no problems.",NIL,NIL,NIL,NIL
831,2094,I tried out another Mac for a few months before buying this one and it is a great machine.,NIL,NIL,great,+1
832,1252,Somehow the system clock got messed up after reboot.,system clock,negative,messed up,-1
833,3007,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,negative,problem;slow,-1;-1
834,1650,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,positive,free,+1
835,1229,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,NIL,NIL,NIL,NIL
836,399,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.,NIL,NIL,impressed,+1
837,1037,"The driver updates don't fix the issue, very frustrating.",driver updates,negative,frustrating,-1
838,1620,I will never go back to Windows!,Windows,negative,NIL,NIL
839,1035,Do your research on this issue.,NIL,NIL,NIL,NIL
840,201,"Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop.",NIL,NIL,NIL,NIL
841,285,It doesnt work worth a damn.,work,negative,worth,+1
842,1260,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",NIL,NIL,NIL,NIL
